"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","당해연도 졸업자-남","당해연도 졸업자-여","당해연도 졸업자-합계","당해연도 졸업자-비율","이전연도 졸업자-남","이전연도 졸업자-여","이전연도 졸업자-합계","이전연도 졸업자-비율","검정고시 및 교육과정 이수자-남","검정고시 및 교육과정 이수자-여","검정고시 및 교육과정 이수자-합계","검정고시 및 교육과정 이수자-비율","기 타-남","기 타-여","기 타-합계","기 타-비율","합계-남","합계-여","합계"
"경상북도교육청","경상북도교육청","경상북도 구미시","S000003539","구미전자공업고등학교","04","국립","N","","168","53","221","98.7","0","2","2","0.9","1","0","1","0.4","0","0","0","0.0","169","55","224"
"경상북도교육청","경상북도교육청","경상북도 문경시","S150000712","가은고등학교","04","공립","N","","9","4","13","86.7","1","0","1","6.7","0","1","1","6.7","0","0","0","0.0","10","5","15"
"경상북도교육청","경상북도교육청","경상북도 예천군","S150000714","경북일고등학교","04","공립","N","","107","110","217","99.1","0","1","1","0.5","0","1","1","0.5","0","0","0","0.0","107","112","219"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000715","한국국제통상마이스터고등학교","04","공립","N","","28","33","61","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","28","33","61"
"경상북도교육청","경상북도교육청","경상북도 영덕군","S150000716","강구정보고등학교","04","공립","N","","8","2","10","90.9","1","0","1","9.1","0","0","0","0.0","0","0","0","0.0","9","2","11"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000718","경구고등학교","04","사립","N","","210","0","210","99.1","2","0","2","0.9","0","0","0","0.0","0","0","0","0.0","212","0","212"
"경상북도교육청","경상북도교육청","경상북도 포항시 남구","S150000719","경북과학고등학교","04","공립","N","","42","18","60","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","42","18","60"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000720","경북생활과학고등학교","04","공립","N","","20","99","119","98.3","0","0","0","0.0","1","0","1","0.8","1","0","1","0.8","22","99","121"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000721","경북외국어고등학교","04","공립","N","","27","86","113","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","27","86","113"
"경상북도교육청","경상북도교육청","경상북도 봉화군","S150000722","한국펫고등학교","04","사립","N","","6","34","40","90.9","0","3","3","6.8","0","1","1","2.3","0","0","0","0.0","6","38","44"
