지역,등록번호,학원명,학원종류,분야구분,학원주소,우편번호,등록상태,설립자,일시수용능력인원,정원합계,교습과정,교습과목,정원,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,총교습비(시간당),경도,위도
포항시,2655,가면연기뮤지컬학원,학교교과교습학원,기타(대),"경상북도 포항시 북구 법원로 157, , 401 402호 (양덕동)",37572,개원,김연희,40,100,기타(소),연기입시1,15,0,0,0,0,0,0,0,550000,11458,129.3872011,36.08898435
포항시,1989,강영재수학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 천마로72번길 26, , 2층 (양덕동)",791270,개원,강영재,45,114,보습,수학(초등),30,0,0,0,0,0,0,0,190000,6333,129.3998744,36.08285154
포항시,1998,가빈어학원,학교교과교습학원,국제화,"경상북도 포항시 북구 새천년대로1123번길 9, , 306호 (창포동)",791774,개원,박은숙,40,120,실용외국어(유아/초·중·고),영어초등A(한국인전담 ),40,0,0,0,0,0,0,0,180000,10800,129.3696307,36.06793679
포항시,등835,강정희음악학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 두호로 33, , 3층일부 (두호동)",37710,개원,강정희,28,94,음악,피아노(초급),20,0,0,0,0,0,0,0,140000,5714,129.37474,36.05999206
포항시,2240,강민정발레학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 새천년대로1249번길 18, , 2층(장성동)",37585,개원,강민정,20,60,무용,무용(초급),20,0,0,0,0,0,0,0,150000,5625,129.3832175,36.0754622
포항시,등1702,가우디미술학원,학교교과교습학원,예능(대),"경상북도 포항시 남구 효자동길1번길 24,  2층 (효자동)",790330,개원,김태양,60,120,미술,입시미술1,20,0,0,0,0,0,0,0,129600,10800,129.3279423,36.00705177
포항시,등1061,개념원리수학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 연일읍 유강길10번길 30, , 2층 (연일읍)",37655,개원,김창구,48,80,보습,수학(중등A),12,0,0,0,0,0,0,0,150000,10714,129.3219697,36.00583332
포항시,2262,경한어드밴스드잉글리쉬학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 용흥로 95, , 1층 2층일부 (용흥동)",37689,자진휴원(소),김경한,60,200,보습,영어(고등B),40,0,0,0,0,40000,0,40000,297000,15911,129.350382,36.03676791
포항시,1937,경은수학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 포스코대로 146, , 2층 일부 (대잠동)",37679,개원,김경은,48,100,보습,초등한자,20,0,0,0,0,0,0,0,80000,6667,129.3416373,36.02542667
포항시,등772,게이트웨이학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 동해면 연오로7번길 1, , 203호 (동해면)",37926,개원,김수진,36,60,보습,영어 초등,10,0,0,0,0,0,0,0,170000,8500,129.442273,35.98803373
