"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"교육부","교육부","경상북도 구미시","S000003539","구미전자공업고등학교","04","국립","특수목적고등학교","N","단설","주간","19540618","19540518","4719012500","경상북도 구미시 임수동 구미전자공고","200.","730721","39387","경상북도 구미시 임수로 48","(임수동)","36.1","128.4","054-470-3810","054-473-3261","http://school.gyo6.net/gnet","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 문경시","S150000712","가은고등학교","04","공립","일반고등학교","N","병설","주간","19741107","19741107","4728025321","경북 문경시 가은읍 왕릉리","218번지.","745904","36995","경상북도 문경시 가은읍 가은로 205",", 가은고등학교 (가은읍, 가은중학교,가은고등학교)","36.6456963","128.0715117","054-572-0101","054-572-0105","https://school.gyo6.net/gago","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 성주군","S150000713","가천고등학교","04","공립","일반고등학교","N","병설","주간","19741227","19741227","4784034030","경상북도 성주군 가천면 창천리","861.","719883","719883","경상북도 성주군 가천면 창천5길 13","(가천면,가천고등학교)","35.8860893","128.1601894","054-931-7122","054-932-4245","http://gacheonhs.school.gyo6.net","남녀공학","Y","20170228","N"
"경상북도교육청","경상북도교육청","경상북도 예천군","S150000714","경북일고등학교","04","공립","일반고등학교","N","단설","주간","19760301","19760301","4790025330","경북 예천군 감천면 포리","311-2번지.","757913","36849","경상북도 예천군 호명읍 행복로 193","경북일고등학교","36.5791893629","128.4846786407","054-522-8002","054-522-8009","https://school.gyo6.net/gyeongbuk","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000715","한국국제통상마이스터고등학교","04","공립","특수목적고등학교","N","병설","주간","19530623","19530623","4713025025","경상북도 경주시 감포읍 오류1리","478-2.","780832","38125","경상북도 경주시 감포읍 감포로12길 20","20,  감포중학교/한국국제통상마이스터고등학교","35.811066","129.506668","054-775-3454","054-744-3632","http://school.gyo6.net/kgbmhs/main.do","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 영덕군","S150000716","강구정보고등학교","04","공립","특성화고등학교","N","병설","주간","19671129","19671129","4777031033","경상북도 영덕군 강구면 삼사리","21번지.","766824","36460","경상북도 영덕군 강구면 신강구1길 45-5",", 강구정보고등학교 (강구면)","36.3531602","129.3798516","054-733-3944","054-734-1334","https://school.gyo6.net/ganggu-ch/","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000718","경구고등학교","04","사립","일반고등학교","N","단설","주간","19840514","19840514","4719010400","경북 구미시 봉곡동","279.","730200","39209","경상북도 구미시 봉곡로9길 25",", 경구고등학교 (봉곡동)","36.1481743","128.3076337","054-442-0300","054-442-0303","https://school.gyo6.net/kghs","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 포항시 남구","S150000719","경북과학고등학교","04","공립","특수목적고등학교","N","단설","주간","19920627","19920627","4711111500","경북 포항시 남구 지곡동","산22-5.","37666","37666","경상북도 포항시 남구 지곡로 130","(지곡동, 경북과학고등학교)","36.0183","129.3265","054-240-2600","054-248-2857","https://school.gyo6.net/kbs","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000720","경북생활과학고등학교","04","공립","특성화고등학교","N","병설","주간","19671005","19671005","4719034028","경상북도 구미시 해평면 월호리","488.","730873","39154","경상북도 구미시 해평면 강동로 1654",", 경북생활과학고등학교 (해평면, 경북생활과학고등학교(해평중학교))","36.1996019274","128.3922026175","054-474-2593","054-474-2594","https://school.gyo6.net/gbds","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000721","경북외국어고등학교","04","공립","특수목적고등학교","N","단설","주간","19950324","19950324","4719010800","경북 구미시 남통동","110번지.","730714","39306","경상북도 구미시 금오산로 198-10",", 경북외국어고등학교 (남통동,경북외국어고등학교)","36.12364","128.32285","054-458-2013","054-458-2015","http://school.gyo6.net/gbflhs","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 봉화군","S150000722","한국펫고등학교","04","사립","특성화고등학교","N","단설","주간","19741227","19741227","4792025031","경상북도 봉화군 봉화읍 내성리","460번지.","755805","36238","경상북도 봉화군 봉화읍 내성천1길 18","(봉화읍, 한국펫고등학교)","36.8867953","128.734414","054-673-2811","054-673-2814","https://school.gyo6.net/koreapet","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000723","경북체육고등학교","04","공립","특수목적고등학교","N","병설","주간","19721111","19721111","4729010400","경북 경산시 신교동","108-1.","712040","38646","경상북도 경산시 경안로 43",", 경북체육고등학교 (신교동, 경북체육중고등학교)","35.811258","128.738963","053-719-7711","053-812-6568","http://school.gyo6.net/gbche","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000724","경산고등학교","04","공립","자율고등학교","N","단설","주간","19741005","19741005","4729011600","경북 경산시 계양동","112-3번지.","712120","38616","경상북도 경산시 원효로 89","(계양동, 경산고등학교)","35.82525","128.747698","053-819-8900","053-811-5436","https://school.gyo6.net/gyeongsanhs","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000726","경산여자고등학교","04","사립","일반고등학교","N","단설","주간","19730412","19721226","4729010700","경상북도 경산시 옥곡동","21번지.","38684","38684","경상북도 경산시 경산로 91","경산여자고등학교","35.8","128.7","053-811-4066","053-811-4070","http://school.gyo6.net/gsgh","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000728","경산제일고등학교","04","사립","특성화고등학교","N","병설","주간","19740105","19740105","4729033021","경북 경산시 자인면 동부2리","208번지.","712854","38559","경상북도 경산시 자인면 원효로 851-16","경산여자상업고등학교","35.8159783077","128.8278517988","053-857-2351","053-857-1655","https://school.gyo6.net/gnc","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000729","경북기계금속고등학교","04","공립","특성화고등학교","N","병설","주간","19940301","19940301","4729033023","경북 경산시 자인면 북사1리","242번지.","712852","38549","경상북도 경산시 자인면","일연로 93","35.821017","128.819513","053-859-3800","053-859-3890","https://school.gyo6.net/gbgigo","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000730","경안고등학교","04","사립","일반고등학교","N","단설","주간","19540220","19540220","4717012600","경북 안동시 금곡동","124번지.","760250","36690","경상북도 안동시 제비원로 182","(금곡동, 경안고등학교)","36.568514","128.719458","054-857-4703","054-841-0871","https://school.gyo6.net/ka","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000732","경안여자고등학교","04","사립","일반고등학교","N","단설","주간","19641205","19641205","4717013600","경북 안동시 송현동","599-1.","760300","36623","경상북도 안동시 경동로 205-34","(송현동,경안여자고등학교)","36.576137","128.683147","054-843-3965","054-843-3966","http://school.gyo6.net/gagi","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000733","경일고등학교","04","사립","일반고등학교","N","단설","주간","19720617","19720617","4717010500","경북 안동시 신안동","51번지.","760140","36687","경상북도 안동시 치이골길 46","(신안동, 경일고등학교)","36.5756293","128.7378932","054-858-3211","054-853-7483","http://school.gyo6.net/gyeongilhs","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000734","경주고등학교","04","사립","일반고등학교","N","단설","주간","19380326","19380326","4713010500","경북 경주시 황오동","13.","780956","38151","경상북도 경주시 원효로 231",", 경주고등학교 (황오동)","35.8428929","129.2266058","054-775-9670","054-775-9677","https://school.gyo6.net/gyeongjuhs","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000735","경주공업고등학교","04","공립","특성화고등학교","N","단설","주간","19510925","19510925","4713010900","경상북도 경주시 사정동","70번지.","780939","38168","경상북도 경주시 금성로 209","(사정동, 경주공업고등학교)","35.8364764","129.2059954","054-778-7800","054-778-7890","https://school.gyo6.net/kjth","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000736","경주디자인고등학교","04","공립","특성화고등학교","N","단설","주간","20010301","20010301","4713036029","경상북도 경주시 현곡면 가정리","49-2.","780921","38044","경상북도 경주시 현곡면 용담로 694","","35.9000578943","129.163340571","054-745-3713","054-745-3714","https://school.gyo6.net/godesign","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000738","경주여자고등학교","04","공립","일반고등학교","N","단설","주간","19450223","19450223","4713010800","경상북도 경주시 성건동","620-118.","780180","38131","경상북도 경주시 금성로 437","(성건동,경주여자고등학교)","35.8577662","129.2056448","054-743-3841","054-772-7058","https://school.gyo6.net/gokok-hs","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000740","경주여자정보고등학교","04","사립","특성화고등학교","N","단설","주간","19741227","19741227","4713013000","경북 경주시 시래동","729번지.","780460","38200","경상북도 경주시 시동로 90","(시래동, 경주여자정보고등학교)","35.7734031","129.2909518","0547460081","054-746-1303","https://school.gyo6.net/newschool","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000741","경주정보고등학교","04","사립","특성화고등학교","N","단설","주간","19530410","19530410","4713011400","경북 경주시 충효동","549-6.","780250","38057","경상북도 경주시 충효7길 19","(충효동, 경주정보고등학교/월성중학교)","35.8418254","129.1762605","054-742-8965","054-771-3888","https://school.gyo6.net/interneths","남","N","","N"
